player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mfv_media_3y,mv_storica,mfv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,predicted_pts_p10,predicted_pts_p50,predicted_pts_p90,pts_volatility_spread,vorp_points,target_price_500,target_price_1000,clearing_price_1000,clearing_price_500,target_flags,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr
Malen,A,Pc,ROM,38,45.0,6.0,0.5,0.0,0.0,0.0,450,1.0,6.72,8.97,6.72,8.97,0.0,,0.474,0.778,0.111,0.056,0.167,1.0,15.205,1.548,0.913,0.093,0.73,4.203,1.0268,2.203,44,6,0,0.171,2,0,135,True,1.0,0.678,0.6958,167.0,217.6,271.5,104.5,85.2,38,450,378,189,thin_prior_sample_no_fade;clearing_observed(historical),450,38,72
Paz N.,C,T;A,COM,29,24.5,6.0,0.5,0.0,0.0,0.0,245,2.0,6.373,7.183,6.375,7.125,0.005,,0.895,0.265,0.176,0.162,0.0,2.0,9.256,6.256,0.303,0.201,0.266,3.707,1.0068,1.982,23,3,0,0.089,2,0,170,True,1.0,0.6248,0.6333,141.8,218.3,262.1,120.3,51.8,22,182,200,100,fade(0.74);clearing_observed(asta_xlsx),182,22,-18
Krstovic,A,Pc,ATA,18,9.8,6.0,0.5,0.0,0.0,0.0,98,3.0,6.082,6.952,6.04,6.803,0.102,0.125,0.895,0.275,0.108,0.137,0.029,3.0,14.002,3.166,0.5,0.117,0.444,4.056,1.0354,2.298,3,2,0,0.012,0,2,52,False,0.0,0.6186,0.6197,87.9,207.9,260.3,172.4,75.5,15,80,148,74,fade(0.82);clearing_observed(asta_xlsx),80,15,-68
Douvikas,A,Pc,COM,22,18.5,6.0,0.5,0.0,0.0,0.0,185,2.0,6.19,7.17,6.195,7.065,0.015,,0.632,0.333,0.042,0.021,0.021,2.0,11.16,1.816,0.575,0.114,0.551,2.481,1.0068,1.982,10,4,0,0.039,2,0,180,True,1.0,0.5974,0.6009,88.7,211.9,266.6,177.9,79.5,17,146,61,30,fade(0.79);clearing_observed(asta_xlsx),146,17,85
Laurientè,A,A,SAS,15,8.3,6.0,0.5,0.0,0.0,0.0,83,1.0,6.23,6.99,6.23,6.99,0.0,,0.974,0.189,0.243,0.108,0.0,3.0,4.913,6.295,0.168,0.217,0.159,2.419,0.9714,1.594,0,0,0,0.0,2,0,180,True,1.0,0.5733,0.5733,119.3,216.4,262.4,143.1,84.0,13,71,25,12,fade(0.85);clearing_observed(asta_xlsx),71,13,46
Da Cunha,C,C;T,COM,18,8.7,6.0,0.5,0.0,0.0,0.0,87,2.0,6.26,6.727,6.22,6.635,0.12,,0.921,0.129,0.086,0.114,0.057,2.0,5.145,5.31,0.142,0.177,0.091,1.316,1.0068,1.982,0,0,0,0.0,1,1,111,True,0.5,0.5675,0.5675,116.5,217.1,253.0,136.5,50.6,15,72,20,10,fade(0.83);clearing_observed(asta_xlsx),72,15,52
Dimarco,D,E;W,INT,31,24.0,6.0,0.5,0.0,0.0,0.0,240,10.0,6.483,7.303,5.594,5.946,1.875,0.3897,0.637,0.139,0.199,0.085,0.0,4.0,5.566,10.07,0.178,0.394,0.178,2.141,1.1,3.009,56,7,0,0.218,2,0,180,True,1.0,0.5626,0.5816,163.6,226.4,253.9,90.3,64.5,16,126,82,41,fade(0.53);clearing_observed(asta_xlsx),126,16,44
Martinez L.,A,Pc,INT,33,36.1,6.0,0.5,0.0,0.0,0.0,361,8.0,6.382,8.06,6.35,7.825,0.172,0.0352,0.852,0.51,0.112,0.135,0.042,1.0,1.261,0.421,0.353,0.118,0.353,3.913,1.1,3.009,140,12,0,0.544,2,0,144,True,1.0,0.5608,0.6106,137.1,206.7,283.4,146.3,74.3,22,243,329,164,fade(0.67);clearing_observed(asta_xlsx),243,22,-86
Thuram,A,Pc,INT,28,24.9,6.0,0.5,0.0,0.0,0.0,249,3.0,6.415,7.86,6.433,7.837,0.086,-0.055,0.842,0.417,0.177,0.062,0.0,2.0,3.886,3.668,0.142,0.137,0.142,1.608,1.1,3.009,106,12,0,0.412,0,2,25,False,0.0,0.5601,0.597,135.1,184.1,256.9,121.8,51.7,20,177,306,153,fade(0.71);clearing_observed(asta_xlsx),177,20,-129
Pulisic,C,T;A,MIL,24,15.0,6.0,0.5,0.0,0.0,0.0,150,3.0,6.257,7.282,6.287,7.353,0.099,-0.09,0.851,0.32,0.196,0.031,0.031,3.0,10.017,5.834,0.389,0.232,0.338,2.334,1.0464,2.419,127,12,0,0.494,0,2,0,False,0.0,0.5598,0.6046,86.3,195.8,251.6,165.3,29.3,17,107,155,78,fade(0.79);team_discount(MIL);clearing_observed(asta_xlsx),107,17,-48
